Reporting Date,Fund Name (Short),Fund Name (Long),Investee,Short Name,Investee Currency,Investment Category,Vintage,Geograhpy,Industry,Sector Focus,Project Code,Commitment,Remaining Commitment,Realized,Adjusted NAV,Total Called,Last NAV,Last NAV Date,IRR,Multiple,MC2025Q1FundID
6/30/2025,AURORA I,Aurora Private Equity Fund I,Granite Ridge Capital,Granite,USD,Controlled Investments,2021,North America,Consumer and Food Services,2530 - Consumer Services,,364000000,0,0,656360189.4,365000000,656360189.4,12/30/2150,0.5548,3.92165366,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Celsius Enterprise Group,Celsius,EUR,Non-Controlled Investments,0,Europe,Business Services,4510 - Software & Services,,185100006.5,0,43737874.74,175088635.3,185749109.2,175088635.3,12/30/2150,0.2912,2.76522446,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Clearwater Services Group,Clearwater,USD,Non-Controlled Investments,0,North America,Consumer and Food Services,25302020 - Specialized Consumer Services,,418400000,0,-84878.52,1126667661,418831628,590834342,12/30/2150,0.9302,5.6753606,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Evergreen Nutrition Partners,Evergreen,USD,Fund Investments,2019,North America,,3010 - Food & Staples Retailing,,10000000,19273.22,2502888.78,7655944,10377954.64,7655944,12/30/2150,-0.1208,1.69998116,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Harbor Financial Services Fund III,Harbor,USD,Fund Investments,2018,Global,,40 - Financials,,150000000,8852144,77246172,220737798,162424430,220737798,12/30/2150,0.2152,2.60623956,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Ironclad Financial Partners,Ironclad,USD,Fund Investments,2018,Global,,40 - Financials,,50000000,6294302,24016478,54639356,54212530,54639356,12/30/2150,0.2302,2.56398958,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Northshore Capital International,Northshore,USD,Fund Investments,2015,Global,Other,Diversified,,250000000,0,187797728.4,287726460,275450472.8,287726460,12/30/2150,0.0998,2.261313,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Silverwing Co-Invest Partners,Silverwing,EUR,Fund Investments,2020,Europe,,Diversified,,32000000,5471548.48,4425653.58,39887278,29773096.04,39887278,12/30/2150,0.1222,2.33140776,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Foundry Entrepreneurial Capital,Foundry,USD,Fund Investments,2018,North America,,2530 - Consumer Services,,100000000,1579256,58155850,136424136,119326208,136424136,12/30/2150,0.3332,2.81806794,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Pacific Crest Asia Fund,Pacific,USD,Fund Investments,2015,Asia,,Diversified,,75000000,3452737.94,76578014.02,49656890.34,75036132.88,49656890.34,12/30/2150,-0.107,1.75965582,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Lighthouse Capital III,Lighthouse,USD,Fund Investments,2019,North America,Other,Diversified,,600000000,0,91001063.34,734738840,629542459.6,734738840,12/30/2150,0.1656,2.4473547,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,CoreHarvest Food Investments,CoreHarvest,EUR,Fund Investments,2022,Europe,,2530 - Consumer Services,,20000000,1160000,0,23849988,18840000,23849988,12/30/2150,0.1408,2.37825274,MC-V-1
6/30/2025,AURORA I,Aurora Private Equity Fund I,Indus Growth Capital II,Indus,USD,Fund Investments,2017,Asia,,Diversified,,30000000,87957.88,17568582.62,42162920,29917698.78,42162920,12/30/2150,0.48,3.4371484,MC-V-1
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Keystone Foundation Holdings,Keystone,USD,Controlled Investments,2024,North America,Financial Services,40 - Financials,,450000000,0,70808442.26,827049832,450000000,827049832,7/2/2151,1.2704,3.99048122,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Velocity Financial Platform,Velocity,USD,Controlled Investments,2025,North America,Financial Services,40301030 - Multi-line Insurance,,650400000,0,0,650400000,650400000,0,#VALUE!,0,2,MC-PE-4
9/30/2025,ARC II,Arcadia Capital Partners Fund II,BlueCurrent Water Technologies,BlueCurrent,USD,Non-Controlled Investments,2017,North America,Other,20106020 - Industrial Machinery,,150000000,0,497657931.6,0,163856300,0,12/30/2150,0.437,6.02321726,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,SafeRoute Infrastructure,SafeRoute,SEK,Non-Controlled Investments,2018,Northern Europe,Business Services,20102010 - Building Products,,524500000,0,1078578256,358982982,531239154.8,358982982,7/2/2151,0.3908,5.41210574,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Vector Special Situations Fund,Vector,USD,Non-Controlled Investments,2017,Undisclosed,Consumer and Food Services,Undisclosed,,100000000,3784290,0,98753596,104145016.7,98753596,7/2/2151,-0.0294,1.8964632,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Oakline Strategic Holdings,Oakline,EUR,Non-Controlled Investments,2013,Europe,Consumer and Food Services,302010 - Beverages,,35477352,0,59716359.32,0,35477352,0,1/2/2144,0.4188,3.35933086,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Oakline Strategic Holdings,Oakline,EUR,Non-Controlled Investments,2013,Europe,Consumer and Food Services,302010 - Beverages,,64346262,0,108309224.7,0,64500153.8,0,1/2/2144,0.4186,3.35841756,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Oakline Strategic Holdings,Oakline,EUR,Non-Controlled Investments,2013,Europe,Consumer and Food Services,302010 - Beverages,,28612038,0,48160493.16,0,28612038,0,1/2/2144,0.4204,3.3658699,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Monarch Consumer Partners II,Monarch,USD,Fund Investments,2017,North America,Consumer and Food Services,Diversified,,7653998,395534,3728174,6412826,9306762.2,6412826,7/2/2151,0.0346,2.16997056,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Alpine Equity Partners V,Alpine,EUR,Fund Investments,2018,Western Europe,Other,Diversified,,16573578,2420411.54,7939217.96,13882730,15616468.64,13882730,7/2/2151,0.166,2.79473528,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Alpine Equity Partners V,Alpine,EUR,Fund Investments,2018,Western Europe,Other,Diversified,,30060000,4389973.62,14399599.92,25179530,28286318.2,25179530,7/2/2151,0.1668,2.79846458,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Alpine Equity Partners V,Alpine,EUR,Fund Investments,2018,Western Europe,Other,Diversified,,13366422,1952037.22,6402898.5,11196282,12603498.78,11196282,7/2/2151,0.1654,2.79274522,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Redpoint Energy Fund II,Redpoint,USD,Fund Investments,2017,North America,Other,Energy infrastructure,,27622629.9,3646078,9322728,42403182,28058538.98,42403182,7/2/2151,0.2534,3.61163052,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Redpoint Energy Fund II,Redpoint,USD,Fund Investments,2017,North America,Other,Energy infrastructure,,50100000,6613024,16908908,76907906,50826283.02,76907906,7/2/2151,0.2638,3.69166536,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Redpoint Energy Fund II,Redpoint,USD,Fund Investments,2017,North America,Other,Energy infrastructure,,22277370.1,2414810,8177844,34587882,22582212.98,34587882,7/2/2151,0.2706,3.7551264,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Riverbend Resource Holdings,Riverbend,USD,Non-Controlled Investments,2017,North America,Other,Energy infrastructure,,3281832,203670,2542078,2004736,3339118,2004736,7/2/2151,0.1744,2.72336228,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Riverbend Resource Holdings,Riverbend,USD,Non-Controlled Investments,2017,North America,Other,Energy infrastructure,,5952358,369396,4610642,3636062,6056258,3636062,7/2/2151,0.1744,2.72336614,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Riverbend Resource Holdings,Riverbend,USD,Non-Controlled Investments,2017,North America,Other,Energy infrastructure,,2646764,18196,2050160,1764324,2692964,1764324,7/2/2151,0.1928,2.8329261,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Riverbend Strategic Co-Invest,Riverbend,USD,Non-Controlled Investments,2019,North America,Other,Energy infrastructure,,14986835,15634,101276,3590046,15088138.48,3590046,7/2/2151,-0.4412,0.48930118,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Riverbend Strategic Co-Invest,Riverbend,USD,Non-Controlled Investments,2019,North America,Other,Energy infrastructure,,27182076,28358,183686,6511072,27365809.7,6511072,7/2/2151,-0.4412,0.489279,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Riverbend Strategic Co-Invest,Riverbend,USD,Non-Controlled Investments,2019,North America,Other,Energy infrastructure,,12086729,-7270,81676,3027484,12168425.82,3027484,7/2/2151,-0.429,0.5110209,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Orion Opportunistic Credit Fund,Orion,USD,Non-Controlled Investments,2016,North America,Other,Diversified,,16912854.54,10029844.54,7764154,597604,6880346,597604,7/2/2151,0.136,2.43062136,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Northstar Private Capital I,Northstar,EUR,Fund Investments,2018,Western Europe,Other,Diversified,,27622630,3771577.52,4332848.16,13039566,28241545.2,13039566,7/2/2151,-0.2554,1.23027362,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Northstar Private Capital I,Northstar,EUR,Fund Investments,2018,Western Europe,Other,Diversified,,50100000,6840625.52,7858617.8,23650256,51176357.08,23650256,7/2/2151,-0.255,1.231384,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Northstar Private Capital I,Northstar,EUR,Fund Investments,2018,Western Europe,Other,Diversified,,22277370,3041738.94,3494397.94,10516278,22787502.56,10516278,7/2/2151,-0.2554,1.2296807,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Precision Manufacturing Group,Precision,EUR,Non-Controlled Investments,2018,Western Europe,Business Services,3510 - Health Care Equipment & Services,,5524526,0,0,0,5573870.66,0,7/2/2149,-2,0,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Precision Manufacturing Group,Precision,EUR,Non-Controlled Investments,2018,Western Europe,Business Services,3510 - Health Care Equipment & Services,,10020000,0,0,0,10109498.92,0,7/2/2149,-2,0,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Precision Manufacturing Group,Precision,EUR,Non-Controlled Investments,2018,Western Europe,Business Services,3510 - Health Care Equipment & Services,,4455474,0,0,0,4495270.36,0,7/2/2149,-2,0,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Redwood Growth Partners III,Redwood,USD,Fund Investments,2018,North America,,254010 - Media,,13811314.96,0.96,838578,12204878,14710703.34,12204878,7/2/2151,-0.0544,1.77332868,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Redwood Growth Partners III,Redwood,USD,Fund Investments,2018,North America,,254010 - Media,,25050000,0,1520952,22136334,26629757.32,22136334,7/2/2151,-0.0536,1.77675566,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Redwood Growth Partners III,Redwood,USD,Fund Investments,2018,North America,,254010 - Media,,11138685.04,-0.96,676304,9843110,11876277.34,9843110,7/2/2151,-0.0548,1.77150022,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Gateway Equity Partners I,Gateway,USD,Fund Investments,2016,North America,Other,Diversified,,40410000,6965410,31286454,32335594,45995429.26,32335594,7/2/2151,0.2342,2.7474763,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Heartland Food Group,Heartland,USD,Non-Controlled Investments,2019,North America,Consumer and Food Services,25301040 - Restaurants,,100000000,0,59792758.62,153050067.2,100071160.7,153050067.2,7/2/2151,0.3284,4.2538267,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Evolution Venture Partners II,Evolution,USD,Fund Investments,2016,North America,Other,254010 - Media,,20000000,0,5557356,22283892,22373100,22283892,7/2/2151,0.0862,2.48881452,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Nordic Capital V,Nordic,SEK,Fund Investments,2016,Northern Europe,Other,Diversified,,800000000,111093624.2,515177888.2,774979946,891051139.2,774979946,7/2/2151,0.1696,2.89581098,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Orion Credit Opportunities Fund III,Orion,USD,Fund Investments,2016,North America,Other,Diversified,,80000000,19947096,95649032,12648220,79486116,12648220,7/2/2151,0.2258,2.72015526,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Summit Orthopedic Group,Summit,USD,Non-Controlled Investments,2016,North America,Other,35 - Health Care,,97899183.96,0,2050618.9,12010774,99902041.96,12010774,7/2/2151,-0.5222,0.28150362,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,BlueCurrent Water Technologies,BlueCurrent,USD,Non-Controlled Investments,2017,North America,Other,20106020 - Industrial Machinery,,0,0,-269477678.2,292590807.8,0,298756261.4,7/2/2151,0.1516,0,MC-PE-2
9/30/2025,NOVA III,Nova Strategic Capital Fund III (Offshore),Heartland Food Group,Heartland,USD,Non-Controlled Investments,2019,North America,Consumer and Food Services,25301040 - Restaurants,,300000000,0,179378275.9,459150201.6,300322817.2,459150201.6,7/2/2151,0.3282,4.25227508,MC-PE-3
9/30/2025,NOVA III,Nova Strategic Capital Fund III (Offshore),Northfield Education Holdings,Northfield,USD,Controlled Investments,2021,Western Europe,Consumer and Food Services,25302010 - Education Services,,366391921.8,-1786.08,0,751200000,366393707.8,751200000,7/2/2151,0.3804,4.1005071,MC-PE-3
9/30/2025,NOVA III,Nova Strategic Capital Fund III (Offshore),Clearwater Services Group,Clearwater,USD,Non-Controlled Investments,0,North America,Consumer and Food Services,25302020 - Specialized Consumer Services,,351600000,0,0,521600000,351757668,521600000,7/2/2151,0.2066,2.96567806,MC-PE-3
9/30/2025,AURORA II,Aurora Private Equity Fund II,Lighthouse Capital III,Lighthouse,USD,Fund Investments,2019,North America,Other,Diversified,,80000000,0,13129643.7,98190082,84338995.8,98190082,7/2/2151,0.169,2.46408856,MC-V-2
9/30/2025,AURORA II,Aurora Private Equity Fund II,Northshore Capital International,Northshore,USD,Fund Investments,2015,Global,Other,Diversified,,40000000,0,32755496.6,47193780,44072076.76,47193780,7/2/2151,0.1576,2.414968,MC-V-2
9/30/2025,AURORA II,Aurora Private Equity Fund II,Northfield Education Holdings,Northfield,USD,Controlled Investments,2021,Western Europe,Consumer and Food Services,25302010 - Education Services,,22790255.24,4043206.74,0,45907703.08,18747048.5,45907703.08,7/2/2151,0.7696,4.8975926,MC-V-2
9/30/2025,AURORA II,Aurora Private Equity Fund II,Ascend Growth Partners II,Ascend,USD,Fund Investments,2015,Asia,Other,Diversified,,40000000,1687046.96,43684775.82,36691970,46473114.9,36691970,7/2/2151,0.472,3.0256513,MC-V-2
9/30/2025,AURORA II,Aurora Private Equity Fund II,Broadway Capital Partners II,Broadway,USD,Fund Investments,2015,Global,Other,Diversified,,75000000,0,21314549.4,87824154,75998502,87824154,7/2/2151,0.475,2.78451082,MC-V-2
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Pinnacle Strategic Holdings,Pinnacle,USD,,2025,North America,,2020 - Commercial  & Professional Services,,0,0,0,0,0,0,#VALUE!,0,0,MC-A-3
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),BlueWave Aquaculture Fund,BlueWave,USD,,2019,Global,,Infrastructure,,100000000,2679085.4,0,70198647.74,98968223.42,70198647.74,7/2/2151,-0.1678,1.41860984,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Desert Horizon Absolute Fund,Desert,USD,,2019,Middle East,,40 - Financials,,20000000,0,19818132.2,0,20000000,0,10/4/2146,-0.0422,1.98181322,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Crossroads Global Opportunities,Crossroads,USD,,2020,Global,,40 - Financials,,200000000,0,0,412324859.2,200000000,412324859.2,7/2/2151,0.2864,4.1232486,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Atlas Trade Finance Fund,Atlas,USD,,2021,Africa,,40201040 - Specialized Finance,,50000000,0,56581735.42,0,50000000,0,7/2/2151,0.0878,2.26326942,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Frontier Energy Partners II,Frontier,USD,,2019,Global,,Energy infrastructure,,200000000,139897763.6,69961376.4,88097254,106171858.4,88097254,7/2/2151,0.3536,2.89559808,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Liberty Global Growth Fund,Liberty,USD,,2019,Global,,4020 - Diversified Financials,,50000000,0,48050000,17492033.14,50000000,17492033.14,7/2/2151,0.1196,2.62168132,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Stonehaven Capital I,Stonehaven,USD,,2021,Middle East,,Undisclosed,,200000000,65632681.66,61901611.08,140545074.8,172589296,140545074.8,7/2/2151,0.108,2.34599354,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Crescent Private Equity I,Crescent,USD,,2023,Middle East,,Diversified,,100000000,28170915.42,55617329.6,87184820,107474894.6,87184820,7/2/2151,0.1952,2.65740478,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Tempest Energy Partners IV,Tempest,USD,,2021,Europe,,1010 - Energy,,150000000,-6375796.48,8331342.18,203144152,156375796.5,203144152,7/2/2151,0.1986,2.70470878,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Falcon Shariah Credit Fund,Falcon,USD,,2021,Middle East,,25 - Consumer Discretionary,,50000000,7435385.46,20904229.12,28797869.08,43455657.86,28797869.08,7/2/2151,0.2674,2.28748572,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Nova Strategic Investments,Nova,USD,Fund Investments,2019,,Other,Diversified,,400000,0,27894266,0,400000,0,8/31/2141,29380.4476,139.47133,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Anchor Income Fund,Anchor,USD,,2025,Global,,4020 - Diversified Financials,,18000000,0,0,18629149.1,18000000,18629149.1,7/2/2151,0.182,2.06990546,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Pioneer Technology Growth Fund,Pioneer,USD,,2025,Global,,4020 - Diversified Financials,,18000000,0,0,22358612.54,18000000,22358612.54,7/2/2151,1.4652,2.48429028,MC-A-2
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Mariner Industrial Capital II,Mariner,USD,,2022,Southeast Asia,,203050 - Transportation Infrastructure,,100000000,71074156.76,0,34270144,28879155.86,34270144,7/2/2151,0.2524,2.37334804,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Axiom Private Markets IX,Axiom,USD,Fund Investments,2022,North America,Financial Services,Diversified,,100000000,69467934,4369834,32266816,30055126,32266816,7/2/2151,0.5958,2.4379635,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Meridian Global Strategies,Meridian,USD,Fund Investments,0,Global,Financial Services,,,100000000,0,0,112173314.5,100000000,112173314.5,7/2/2151,0.1134,2.24346628,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Openfield Buyout Partners III,Openfield,USD,,2021,North America,,20 - Industrials,,48600000,20580450,7752708,3114678,29355596,3114678,7/2/2151,-1.2398,0.7403962,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Sentinel Software Investors I,Sentinel,USD,,2023,North America,,4020 - Diversified Financials,,100000000,49786446.76,0,55779120,50078367.58,55779120,7/2/2151,0.2428,2.22767326,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),IronGate Industrial Partners,IronGate,EUR,,2023,Europe,,Diversified,,100000000,87683587.78,0,10262612,12281330.68,10262612,7/2/2151,-0.4332,1.67125408,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Aurora Global Investment Fund,Aurora,USD,,2025,North America,,Diversified,,100000000,99466666,0,1102634,533334,1102634,7/2/2151,4865.2814,4.13487234,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Helios Strategic Holdings,Helios,USD,,2024,North America,,Diversified,,50000000,39875196.16,212182,12769836,10336757.72,12769836,7/2/2151,0.7582,2.51181624,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),BlueHarbor Aquaculture Partners,BlueHarbor,USD,,2024,Asia,,Diversified,,10000000,711775.9,0,5485774.48,9288224.1,5485774.48,7/2/2151,-1.3876,1.18123216,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Stonebridge Secondary Opportunities,Stonebridge,USD,,2023,Europe,,Diversified,,50000000,46598098.4,2650.26,4105850,3702760.28,4105850,7/2/2151,0.9698,2.21915542,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Armitage Growth Capital,Armitage,USD,,2023,North America,,Diversified,,100000000,74875446,0,27179320,26002556,27179320,7/2/2151,0.6974,2.0905114,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Pinnacle Private Credit Fund,Pinnacle,USD,,2024,Europe,,Diversified,,50000000,25000000,4386.98,25000000,25000000,0,#VALUE!,0.0032,2.00035096,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Atlas MENA Credit Partners,Atlas,USD,,2025,Middle East,,4020 - Diversified Financials,,50000000,50000000,0,0,0,0,#VALUE!,0,0,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Summit Capital XIV,Summit,USD,,2025,North America,,30 - Consumer Staples,,100000000,100000000,0,0,0,0,#VALUE!,0,0,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Momentum Co-Investment Vehicle,Momentum,USD,,2025,Canada,Financial Services,40 - Financials,,32520000,0,0,32518305.02,32520000,32518305.02,7/2/2151,-0.0008,1.99989576,MC-A-3
9/30/2025,AURORA I,Aurora Private Equity Fund I,Northfield Education Holdings,Northfield,USD,Controlled Investments,2021,Western Europe,Consumer and Food Services,25302010 - Education Services,,55920895.58,9920895.58,0,102453808,46000000,102453808,7/2/2151,0.6106,4.4545134,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Granite Ridge Capital,Granite,USD,Controlled Investments,2021,North America,Consumer and Food Services,2530 - Consumer Services,,364000000,0,167373304,507518237.2,365000000,507518237.2,7/2/2151,0.5282,4.0091334,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Celsius Enterprise Group,Celsius,EUR,Non-Controlled Investments,0,Europe,Business Services,4510 - Software & Services,,185100006.5,0,43737874.74,176800000,185749109.2,176800000,7/2/2151,0.2744,2.7868503,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Clearwater Services Group,Clearwater,USD,Non-Controlled Investments,0,North America,Consumer and Food Services,25302020 - Specialized Consumer Services,,418400000,0,-84878.52,608004998.6,418831628,608004998.6,7/2/2151,0.307,3.06250544,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Evergreen Nutrition Partners,Evergreen,USD,Fund Investments,2019,North America,,3010 - Food & Staples Retailing,,10000000,19273.22,2502888.78,7648820,10377954.64,7648820,7/2/2151,-0.1112,1.69844072,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Harbor Financial Services Fund III,Harbor,USD,Fund Investments,2018,Global,,40 - Financials,,150000000,7510454,77246172,226208500,165751448,226208500,7/2/2151,0.2036,2.6181866,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Ironclad Financial Partners,Ironclad,USD,Fund Investments,2018,Global,,40 - Financials,,50000000,6294302,24016478,54140614,54212530,54140614,7/2/2151,0.205,2.54543026,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Northshore Capital International,Northshore,USD,Fund Investments,2015,Global,Other,Diversified,,250000000,0,204721854,294961100,275450472.8,294961100,7/2/2151,0.1424,2.41369456,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Silverwing Co-Invest Partners,Silverwing,EUR,Fund Investments,2020,Europe,,Diversified,,32000000,6525784.06,6749620.22,38661146,30995438.38,38661146,7/2/2151,0.1098,2.31434136,MC-V-1
