Reporting Date,Fund Name (Short),Fund Name (Long),Investee,Short Name,Investee Currency,Vintage,Geograhpy,Industry,Project Code,Investment Category,Investments,Realized Cost,Current Valuation,Total Value,Total Income,Current Cost,Principal,IRR,Gross IRR,Multiple,Proceeds,All Other Income,Dividends,Other Income,MC2025Q1FundID
12/31/2024,AURORA I,Aurora Private Equity Fund I,Greenfield Harvest Group,Greenfield Farms,USD,2020,North America,30202030 - Packaged Foods & Meats,,Controlled Investments,108217563.4,0,108217563.4,119044881.2,10827317.74,108217563.4,108217563.4,0.0918,0.0918,2.20010278,0,10827317.74,0,10827317.74,MC-V-1
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,Summit Preserve Foods LP,Summit Preserve,USD,2021,North America,302020 - Food Products,10573,Controlled Investments,293353200,0,489118960.2,489118960.2,0,293353200,293353200,0.554,0.554,3.33467616,0,0,0,0,MC-PE-4
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,Ironclad Packaging Group,Ironclad,USD,2023,North America,15103010 - Metal & Glass Containers,11202,Non-Controlled Investments,115000000,0,143680268,147617768,3937500.04,115000000,115000000,0.291,0.291,2.56726554,0,3937500.04,0,3937500.04,MC-PE-4
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,Brightpath Learning Group,Brightpath Education,USD,2024,Western Europe,25302010 - Education Services,,Controlled Investments,272824181.2,0,308428127.4,308428127.4,0,202400194.2,196909180.4,0.6256,0.6256,2.26100286,0,0,0,0,MC-PE-4
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,Maris Offshore Services Holding,Maris Offshore,DKK,2024,Europe,202010 - Commercial Services & Supplies,Valdemar,Controlled Investments,408000000,0,411619689,411619689,0,403764570.6,0,0.041,0.041,2.01774358,0,0,0,0,MC-PE-4
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,Zenora Hospitality Holdings,Zenora Hotels,USD,2023,Europe,25 - Consumer Discretionary,,Non-Controlled Investments,121161861.4,0,129764509.2,129764509.2,0,121161861.4,121161861.4,0.1066,0.1066,2.14200256,0,0,0,0,MC-PE-4
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,Orbit Childcare Products BV,Orbit,EUR,2024,Western Europe,25201020 - Home Furnishings,,Controlled Investments,592483305.8,0,590127773.2,590127773.2,0,592483305.8,567402385.8,-0.0406,-0.0406,1.99204862,0,0,0,0,MC-PE-4
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,RedOak Nutrition Group,RedOak Foods,USD,2022,North America,302020 - Food Products,10994,Controlled Investments,311004482.6,0,361574896.6,361574896.6,0,310370258,310370258,0.1412,0.1412,2.32520698,0,0,0,0,MC-PE-4
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,Mapleway Logistics,Mapleway,CAD,2022,Canada,20304020 - Trucking,,Controlled Investments,373749383.6,0,491148165.8,491148165.8,0,373749383.6,373749383.6,0.2964,0.2964,2.62822194,0,0,0,0,MC-PE-4
12/31/2024,HELIOS IV,Helios Private Equity Fund IV,Lexicon Advisory Group,Lexicon,EUR,2025,,451020 - IT Services,,Controlled Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC-PE-4
12/31/2024,ARC II,Arcadia Capital Partners Fund II,Blue Current Media Holdings,Blue Current,USD,2019,North America,25401020 - Broadcasting,,Non-Controlled Investments,60143310.22,0,35039385.7,64045643.7,26837284,60000000,57831026,0.0312,0.0312,2.12976784,2168974,26837284,26837284,0,MC-PE-2
12/31/2024,ARC II,Arcadia Capital Partners Fund II,Keystone Global Partners,Keystone Investment Group,USD,2019,,40 - Financials,,Non-Controlled Investments,213121791,213121791,0,588320389.6,0,0,-375198598.4,0.527,0.527,5.52097828,588320389.6,0,0,0,MC-PE-2
12/31/2024,ARC II,Arcadia Capital Partners Fund II,Harborfront Development Group,Harborfront,USD,2018,,,,Non-Controlled Investments,283736033.6,33333333.34,0,33333333.34,0,242575987.8,242575987.8,-1.0002,-1.0002,0.23496016,33333333.34,0,0,0,MC-PE-2
12/31/2024,NOVA III,Nova Strategic Capital Fund III (Offshore),Blue Current Media Holdings,Blue Current,USD,2019,North America,25401020 - Broadcasting,,Non-Controlled Investments,340812091.2,0,198556519,362921817,152074698,340000000,327709400,0.0312,0.0312,2.1297473,12290600,152074698,152074698,0,MC-PE-3
12/31/2024,NOVA III,Nova Strategic Capital Fund III (Offshore),Korran Manufacturing Inc,Korran,USD,2021,North America,3010 - Food & Staples Retailing,,Controlled Investments,363826374,0,407657866,407657866,0,363826376,363826374,0.067,0.067,2.2409473,0,0,0,0,MC-PE-3
12/31/2024,NOVA III,Nova Strategic Capital Fund III (Offshore),Harborfront Development Group,Harborfront,USD,2018,,,,Non-Controlled Investments,506788827,26666666,0,26666666,0,470376391.8,470376391.8,-1.5906,-1.5906,0.10523778,26666666,0,0,0,MC-PE-3
12/31/2024,NOVA III,Nova Strategic Capital Fund III (Offshore),Greenfield Harvest Group,Greenfield Farms,USD,2020,North America,30202030 - Packaged Foods & Meats,,Controlled Investments,514940892.8,0,513318425.6,563449254,50130828.34,513318425.6,513318425.6,0.0388,0.0388,2.1884036,0,50130828.34,50130828.34,0,MC-PE-3
12/31/2024,NOVA III,Nova Strategic Capital Fund III (Offshore),Keystone Global Partners,Keystone Investment Group,USD,2019,,40 - Financials,,Non-Controlled Investments,151725661.6,151725661.6,0,418579684.6,0,0,-266854023,0.527,0.527,5.51758588,418579684.6,0,0,0,MC-PE-3
12/31/2024,NOVA III,Nova Strategic Capital Fund III (Offshore),Circulis Technologies,Circulis,EUR,2019,Western Europe,25301030 - Leisure Facilities,10198,Controlled Investments,205879064.2,-205174725.8,0,434556876.6,-1040417.82,410349449.4,-222589860.8,0.4784,0.4784,4.2214771,435597294.6,-1040417.82,-1040417.82,0,MC-PE-3
12/31/2024,AURORA II,Aurora Private Equity Fund II,Greenfield Harvest Group,Greenfield Farms,USD,2020,North America,30202030 - Packaged Foods & Meats,,Controlled Investments,18542732.7,0,18542732.7,19941250.82,1398518.12,18542732.7,18542732.7,0.0774,0.0774,2.15084272,0,1398518.12,0,1398518.12,MC-V-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),SignalWire Communications,SignalWire,USD,2021,Global,45 - Information Technology,,Non-Controlled Investments,150000000,0,156518918.9,200648085.6,44129166.68,150000000,150000000,0.1506,0.1506,2.6753078,0,44129166.68,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Deepwater Renewables Ltd,Deepwater,USD,2022,Global,Gas wells,,Non-Controlled Investments,6000000,0,0,0,0,6000000,6000000,-2,-2,0,0,0,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Stellar Launch Systems Inc,Stellar Launch,USD,2020,North America,2030 - Transportation,,Non-Controlled Investments,100000000,0,963633280,963633280,0,100000000,100000000,0.999,0.999,19.2726656,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),SignalWire Communications,SignalWire,USD,2021,Global,45 - Information Technology,,Non-Controlled Investments,150000000,0,142033666.7,184033666.7,42000000,150000000,150000000,0.117,0.117,2.45378222,0,42000000,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Deepwater Renewables Ltd,Deepwater,USD,2022,Global,Gas wells,,Non-Controlled Investments,6000000,0,0,0,0,6000000,6000000,-2,-2,0,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Stellar Launch Systems Inc,Stellar Launch,USD,2020,North America,2030 - Transportation,,Non-Controlled Investments,100000000,0,840906400,840906400,0,100000000,100000000,1.0388,1.0388,16.818128,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Altair Aviation Leasing Ltd,Altair,USD,2020,Middle East,203020 - Airlines,,Controlled Investments,193282652.3,0,248925600,248925600,0,193282652.3,193282652.3,0.1298,0.1298,2.57576764,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Streamline Alpha Markets,Streamline Alpha,USD,2021,Global,151040 - Metals & Mining,,Non-Controlled Investments,50000000,0,72507751,85632751,13125000,50000000,50000000,0.294,0.294,3.42531004,0,13125000,13125000,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),SeaBridge Navigation Ltd,SeaBridge,USD,2021,Global,20303010 - Marine,,Non-Controlled Investments,148787129.3,83479864.08,80993571.18,192531937.2,13858572.02,65307265.24,51107335.36,0.3848,0.3848,2.5880187,97679793.96,13858572.02,0,13858572.02,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Vitalis Performance Holdings,Vitalis,USD,2022,North America,4020 - Diversified Financials,,Non-Controlled Investments,20000000,0,0,0,0,20000000,20000000,-2,-2,0,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Aurora Yield Technologies,Aurora Yield,USD,2021,North America,4510 - Software & Services,,Non-Controlled Investments,74000000,0,50728326,50728326,0,74000000,74000000,-0.1884,-0.1884,1.37103584,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Northwatch Systems Ltd,Northwatch,USD,2020,North America,45 - Information Technology,,Non-Controlled Investments,100000000,0,73983894,73983894,0,100000000,100000000,-0.116,-0.116,1.47967788,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Erydan Capital Partners,Erydan,USD,2022,Middle East,45 - Information Technology,,Non-Controlled Investments,10180000,0,0,0,0,10180000,10180000,-2,-2,0,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Verdant Carbon One Ltd,Verdant,USD,2021,Africa,20 - Industrials,,Non-Controlled Investments,40000000,0,36000000,47841194.02,11841194.02,40000000,40000000,0.1318,0.1318,2.3920597,0,11841194.02,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Blockshore Markets,Blockshore,USD,2021,North America,45 - Information Technology,,Non-Controlled Investments,34000000,10000000,0,11100345.68,0,24000000,22899654.32,-0.7544,-0.7544,0.65296152,11100345.68,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Hollis Gate Digital Inc,Hollis Gate,USD,2023,North America,40 - Financials,,Non-Controlled Investments,2999999.24,0,3000000,3000000,0,2999999.24,2999999.24,0,0,2.0000005,0,0,0,0,MC-A-3
3/31/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Neurvia Analytics Inc,Neurvia,USD,2025,Asia,45 - Information Technology,,Non-Controlled Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC-A-3
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Sahra Capital Advisors Ltd,Sahra GP,USD,2024,Middle East,4020 - Diversified Financials,,Non-Controlled Investments,0,0,4002776.34,4223500.86,220724.52,0,0,0,0,0,0,220724.52,0,220724.52,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Liberty Crest Management,Liberty GP,USD,2024,Global,4020 - Diversified Financials,,Non-Controlled Investments,0,0,1616857.1,1616857.1,0,0,0,0,0,0,0,0,0,0,MC-A-2
3/31/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Stonepine Capital Advisors,Stonepine GP,USD,2024,Middle East,4020 - Diversified Financials,,Non-Controlled Investments,0,0,3015410.9,3015410.9,0,0,0,0,0,0,0,0,0,0,MC-A-2
3/31/2025,AURORA I,Aurora Private Equity Fund I,Circulis Technologies,Circulis,EUR,2019,Western Europe,25301030 - Leisure Facilities,10198,Controlled Investments,37168000,37168000,0,77918209.16,-102788.64,0,-41886086.38,3.5884,3.5884,4.1927577,78020997.8,-102788.64,0,-102788.64,MC-V-1
3/31/2025,AURORA I,Aurora Private Equity Fund I,Greenfield Harvest Group,Greenfield Farms,USD,2020,North America,30202030 - Packaged Foods & Meats,,Controlled Investments,108217563.4,0,108217563.4,119044881.2,10827317.74,108217563.4,108217563.4,0.0828,0.0828,2.20010278,0,10827317.74,0,10827317.74,MC-V-1
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,Summit Preserve Foods LP,Summit Preserve,USD,2021,North America,302020 - Food Products,10573,Controlled Investments,293353200,0,435799223.6,435799223.6,0,293353200,293353200,0.3698,0.3698,2.97115712,0,0,0,0,MC-PE-4
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,Ironclad Packaging Group,Ironclad,USD,2023,North America,15103010 - Metal & Glass Containers,11202,Non-Controlled Investments,115000000,0,147914271.9,151851772,3937500.04,115000000,115000000,0.2862,0.2862,2.64090038,0,3937500.04,0,3937500.04,MC-PE-4
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,Brightpath Learning Group,Brightpath Education,USD,2024,Western Europe,25302010 - Education Services,,Controlled Investments,272824181.2,0,312670655.4,312670655.4,0,202400194.2,203233684.2,0.4324,0.4324,2.29210368,0,0,0,0,MC-PE-4
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,Maris Offshore Services Holding,Maris Offshore,DKK,2024,Europe,202010 - Commercial Services & Supplies,Valdemar,Controlled Investments,450000000,0,487794837.4,487794837.4,0,445764570.6,0,0.2756,0.2756,2.16797706,0,0,0,0,MC-PE-4
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,Zenora Hospitality Holdings,Zenora Hotels,USD,2023,Europe,25 - Consumer Discretionary,,Non-Controlled Investments,121161861.4,0,131669933,131669933,0,121161861.4,121161861.4,0.109,0.109,2.1734551,0,0,0,0,MC-PE-4
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,Orbit Childcare Products BV,Orbit,EUR,2024,Western Europe,25201020 - Home Furnishings,,Controlled Investments,592483305.8,0,616701188.4,616701188.4,0,592483305.8,592720128,0.1902,0.1902,2.08175044,0,0,0,0,MC-PE-4
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,RedOak Nutrition Group,RedOak Foods,USD,2022,North America,302020 - Food Products,10994,Controlled Investments,311004482.6,0,350343331.2,350343331.2,0,310370258,310370258,0.0994,0.0994,2.2529793,0,0,0,0,MC-PE-4
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,Mapleway Logistics,Mapleway,CAD,2022,Canada,20304020 - Trucking,,Controlled Investments,373749383.6,0,465234728,465234728,0,373749383.6,373749383.6,0.2072,0.2072,2.4895545,0,0,0,0,MC-PE-4
3/31/2025,HELIOS IV,Helios Private Equity Fund IV,Lexicon Advisory Group,Lexicon,EUR,2025,,451020 - IT Services,,Controlled Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC-PE-4
3/31/2025,ARC II,Arcadia Capital Partners Fund II,Blue Current Media Holdings,Blue Current,USD,2019,North America,25401020 - Broadcasting,,Non-Controlled Investments,60143310.22,0,32403801.8,62073339.8,27500564,60000000,57831026,0.0152,0.0152,2.06418102,2168974,27500564,27500564,0,MC-PE-2
3/31/2025,ARC II,Arcadia Capital Partners Fund II,Keystone Global Partners,Keystone Investment Group,USD,2019,,40 - Financials,,Non-Controlled Investments,213121791,213121791,0,588320389.6,0,0,-375198598.4,0.527,0.527,5.52097828,588320389.6,0,0,0,MC-PE-2
3/31/2025,ARC II,Arcadia Capital Partners Fund II,Harborfront Development Group,Harborfront,USD,2018,,,,Non-Controlled Investments,283736033.6,33333333.34,0,33333333.34,0,242575987.8,242575987.8,-1.0002,-1.0002,0.23496016,33333333.34,0,0,0,MC-PE-2
3/31/2025,NOVA III,Nova Strategic Capital Fund III (Offshore),Blue Current Media Holdings,Blue Current,USD,2019,North America,25401020 - Broadcasting,,Non-Controlled Investments,340812091.2,0,183621543.5,351745345.6,155833202,340000000,327709400,0.0152,0.0152,2.06416002,12290600,155833202,155833202,0,MC-PE-3
3/31/2025,NOVA III,Nova Strategic Capital Fund III (Offshore),Korran Manufacturing Inc,Korran,USD,2021,North America,3010 - Food & Staples Retailing,,Controlled Investments,363826374,0,407657866,407657866,0,363826376,363826374,0.0626,0.0626,2.2409473,0,0,0,0,MC-PE-3
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Altair Aviation Leasing Ltd,Altair,USD,2020,Middle East,203020 - Airlines,,Controlled Investments,193282652.3,90000000,158407763.3,248407763.2,0,103282652.3,103282652.3,0.1158,0.1158,2.5704093,90000000,0,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Streamline Alpha Markets,Streamline Alpha,USD,2021,Global,151040 - Metals & Mining,,Non-Controlled Investments,50000000,0,79719654.6,92844654.6,13125000,50000000,50000000,0.3056,0.3056,3.71378618,0,13125000,13125000,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),SeaBridge Navigation Ltd,SeaBridge,USD,2021,Global,20303010 - Marine,,Non-Controlled Investments,148787129.3,120479864.1,43618400,206379546,13858572.02,28307265.24,-115444.64,0.436,0.436,2.77415858,148902574,13858572.02,0,13858572.02,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Vitalis Performance Holdings,Vitalis,USD,2022,North America,4020 - Diversified Financials,,Non-Controlled Investments,20000000,0,0,0,0,20000000,20000000,-2,-2,0,0,0,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Aurora Yield Technologies,Aurora Yield,USD,2021,North America,4510 - Software & Services,,Non-Controlled Investments,74000000,0,57829716,57829716,0,74000000,74000000,-0.111,-0.111,1.5629653,0,0,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Northwatch Systems Ltd,Northwatch,USD,2020,North America,45 - Information Technology,,Non-Controlled Investments,100000000,0,71776088,71776088,0,100000000,100000000,-0.116,-0.116,1.43552176,0,0,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Erydan Capital Partners,Erydan,USD,2022,Middle East,45 - Information Technology,,Non-Controlled Investments,10180000,0,0,0,0,10180000,10180000,-2,-2,0,0,0,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Verdant Carbon One Ltd,Verdant,USD,2021,Africa,20 - Industrials,,Non-Controlled Investments,40000000,24000000,12000000,47841194.02,11841194.02,16000000,16000000,0.1224,0.1224,2.3920597,24000000,11841194.02,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Blockshore Markets,Blockshore,USD,2021,North America,45 - Information Technology,,Non-Controlled Investments,34000000,10000000,0,11100345.68,0,24000000,22899654.32,-0.7544,-0.7544,0.65296152,11100345.68,0,0,0,MC-A-2
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Hollis Gate Digital Inc,Hollis Gate,USD,2023,North America,40 - Financials,,Non-Controlled Investments,2999999.24,0,3000000,3000000,0,2999999.24,2999999.24,0,0,2.0000005,0,0,0,0,MC-A-3
9/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Neurvia Analytics Inc,Neurvia,USD,2025,Asia,45 - Information Technology,,Non-Controlled Investments,3000000,0,3000000,3000000,0,3000000,3000000,0,0,2,0,0,0,0,MC-A-3
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Sahra Capital Advisors Ltd,Sahra GP,USD,2024,Middle East,4020 - Diversified Financials,,Non-Controlled Investments,0,0,2428985.92,5554454.78,3125468.86,0,0,0,0,0,0,3125468.86,0,3125468.86,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Liberty Crest Management,Liberty GP,USD,2024,Global,4020 - Diversified Financials,,Non-Controlled Investments,0,0,1955382,1955382,0,0,0,0,0,0,0,0,0,0,MC-A-2
9/30/2025,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Stonepine Capital Advisors,Stonepine GP,USD,2024,Middle East,4020 - Diversified Financials,,Non-Controlled Investments,0,0,5913850.36,5913850.36,0,0,0,0,0,0,0,0,0,0,MC-A-2
9/30/2025,AURORA I,Aurora Private Equity Fund I,Circulis Technologies,Circulis,EUR,2019,Western Europe,25301030 - Leisure Facilities,10198,Controlled Investments,37168000,37168000,0,77918209.16,-102788.64,0,-45441136.98,3.5884,3.5884,4.1927577,78020997.8,-102788.64,0,-102788.64,MC-V-1
9/30/2025,AURORA I,Aurora Private Equity Fund I,Greenfield Harvest Group,Greenfield Farms,USD,2020,North America,30202030 - Packaged Foods & Meats,,Controlled Investments,108603446.8,0,185049201.3,198493983.7,13444782.4,108603446.8,108603446.8,0.472,0.472,3.65539012,0,13444782.4,0,13444782.4,MC-V-1
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Summit Preserve Foods LP,Summit Preserve,USD,2021,North America,302020 - Food Products,10573,Controlled Investments,393359972.8,0,404764341,404764341,0,393359972.8,393359972.8,0.0266,0.0266,2.05798438,0,0,0,0,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Ironclad Packaging Group,Ironclad,USD,2023,North America,15103010 - Metal & Glass Containers,11202,Non-Controlled Investments,115000000,0,156912092.2,160849592.3,3937500.04,115000000,115000000,0.2792,0.2792,2.79738422,0,3937500.04,0,3937500.04,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Brightpath Learning Group,Brightpath Education,USD,2024,Western Europe,25302010 - Education Services,,Controlled Investments,291649981.2,0,354886151.2,354886151.2,0,221225994.2,230364895.4,0.3774,0.3774,2.43364426,0,0,0,0,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Maris Offshore Services Holding,Maris Offshore,DKK,2024,Europe,202010 - Commercial Services & Supplies,Valdemar,Controlled Investments,450000000,0,625389896.8,625389896.8,0,445764570.6,0,0.677,0.677,2.77951066,0,0,0,0,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Zenora Hospitality Holdings,Zenora Hotels,USD,2023,Europe,25 - Consumer Discretionary,,Non-Controlled Investments,121161861.4,0,135631014.4,135631014.4,0,121161861.4,121161861.4,0.112,0.112,2.23884006,0,0,0,0,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Orbit Childcare Products BV,Orbit,EUR,2024,Western Europe,25201020 - Home Furnishings,,Controlled Investments,657785841,0,805408631.4,805408631.4,0,655969204.6,706778931.6,0.5206,0.5206,2.44884758,0,0,0,0,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,RedOak Nutrition Group,RedOak Foods,USD,2022,North America,302020 - Food Products,10994,Controlled Investments,311004482.6,0,361842834,361842834,0,310370258,310370258,0.1052,0.1052,2.32693002,0,0,0,0,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Mapleway Logistics,Mapleway,CAD,2022,Canada,20304020 - Trucking,,Controlled Investments,373749383.6,0,489200000,489200000,0,373749383.6,373749383.6,0.208,0.208,2.61779696,0,0,0,0,MC-PE-4
9/30/2025,HELIOS IV,Helios Private Equity Fund IV,Lexicon Advisory Group,Lexicon,EUR,2025,,451020 - IT Services,,Controlled Investments,343286437,0,367671865.2,367671865.2,0,342248650,363754000,0.297,0.297,2.14207044,0,0,0,0,MC-PE-4
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Blue Current Media Holdings,Blue Current,USD,2019,North America,25401020 - Broadcasting,,Non-Controlled Investments,60143310.22,0,23795336,53464874,27500564,60000000,57831026,-0.0548,-0.0548,1.7779159,2168974,27500564,27500564,0,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Keystone Global Partners,Keystone Investment Group,USD,2019,,40 - Financials,,Non-Controlled Investments,213121791,213121791,0,588320389.6,0,0,-375198598.4,0.527,0.527,5.52097828,588320389.6,0,0,0,MC-PE-2
9/30/2025,ARC II,Arcadia Capital Partners Fund II,Harborfront Development Group,Harborfront,USD,2018,,,,Non-Controlled Investments,283736033.6,33333333.34,0,33333333.34,0,242575987.8,242575987.8,-1.0002,-1.0002,0.23496016,33333333.34,0,0,0,MC-PE-2
